id,title,comment_count,upvote_count,view_count,rating_count,average_rating,share_count,exit_count,created_at,username,interaction_type,engagement_score,interaction_rate,category_id,video_link
1342,Flower Blooming   #FlowerPower #BloomTime #FloralFantasy #PetalsPerfection #NatureBlooms #FlowerMagic #SpringBlossoms #FlowerGarden #FlowerLove #BotanicalBeauty,0,5,94,4,48,1,139,2024-11-24 20:12:32,kinha,rate,-0.42105263157894735,0.05263157894736842,8,https://video-cdn.socialverseapp.com/kinha_1689fae0-bfbd-48cf-9c0b-03d5c309ce5c.mp4
1377,"All the moms out there 🤍

song: GOOD DAY by Forrest Frank

inspo: @fultonleemusic",0,0,27,3,40,1,498,2024-11-28 19:16:55,kinha,rate,-16.821428571428573,0.0,8,https://video-cdn.socialverseapp.com/kinha_722e7086-72c6-4f41-8a3f-cc35b3ac587b.mp4
798,The greatest man in history Jesus. Matthew 20-19  He said He would and that He is the Son of God as He claimed to be. Christ is alive! He is living today,0,27,94,6,34,1,0,2024-04-08 05:26:07,kinha,rate,1.2736842105263158,0.28421052631578947,2,https://video-cdn.socialverseapp.com/kinha_044dae90-82eb-44b1-9884-f14e917c5db3.mp4
414,Unknown Title,0,19,79,8,40,0,4,2023-11-24 04:10:10,kinha,rate,1.175,0.2375,2,https://video-cdn.socialverseapp.com/kinha_e797b3ff-316a-4728-a88a-15a1dbe69892.mp4
774,tiktok removed my last vid  -,0,47,48,7,43,0,0,2024-04-05 19:49:40,kinha,rate,1.9387755102040816,0.9591836734693877,2,https://video-cdn.socialverseapp.com/kinha_7f4cc46d-9cec-4684-9140-097cc4608285.mp4
790,5 Bible Verses To Invite The Presence Of God,0,4,67,10,36,0,0,2024-04-08 05:15:23,kinha,rate,1.0441176470588236,0.058823529411764705,2,https://video-cdn.socialverseapp.com/kinha_1e33d169-1da0-4766-9026-e2dc0cc79316.mp4
1277,Did you know this new memecoin on Solana_ 🥶👀 Let me know what you think about this crypto! 👇🏻 #crypto #cryptok #memecoin #altcoin #cryptonews #solana,0,22,93,5,23,0,80,2024-10-04 18:11:45,kinha,rate,0.3723404255319149,0.23404255319148937,22,https://video-cdn.socialverseapp.com/kinha_ea8f99d2-6bee-4d72-80d8-a8688e8cc3af.mp4
871,Know that the loard he is god jesus,0,50,99,7,36,0,0,2024-04-11 03:48:09,kinha,rate,1.49,0.5,2,https://video-cdn.socialverseapp.com/kinha_e56eafa2-a30a-460e-a6d6-05220a8b8d0b.mp4
1286,Successful Night 🤩 #memecoins #trading #cryptocurrency #crypto #fyp #solana #SOL #pumpfun #nocturnal,0,38,85,13,21,0,66,2024-10-04 18:20:32,kinha,rate,0.6627906976744186,0.4418604651162791,22,https://video-cdn.socialverseapp.com/kinha_c6f4af12-1c0f-4839-bf02-90e09e4559b3.mp4
1265,#crypto #cryptotrading #memecoin #solmemecoins #solanamemecoin,0,21,112,5,20,0,125,2024-10-04 17:56:54,kinha,rate,0.07079646017699115,0.18584070796460178,22,https://video-cdn.socialverseapp.com/kinha_744a9ad7-c5bc-474f-ac07-299f5070a529.mp4
